Name,SSN,Type,MonthlyCompensation,HourlyRate,DoneHours,BonusPercentage,RealizedOutcome,OutcomeClaim
Pablo Sabino,DDMMYYCZZZZ,Monthly Paid Employee,3000,0,0,0,0,false
Pavel Savinescu,DDMMYYCZZZZ,Hourly Paid Employee,0,20,160,0,0,false
Pál Szavinyi,DDMMYYCZZZZ,Salesman,2500,0,0,10,5000,true
Paweł Sawinowicz,DDMMYYCZZZZ,Monthly Paid Employee,3200,0,0,0,0,false
Páll Savinsson,DDMMYYCZZZZ,Hourly Paid Employee,0,25,140,0,0,false
Pavel Savinovec,DDMMYYCZZZZ,Salesman,2500,0,0,10,5000,false
Paulus van Savijn,DDMMYYCZZZZ,Monthly Paid Employee,2900,0,0,0,0,false
Paolo Savinov,DDMMYYCZZZZ,Hourly Paid Employee,0,22,150,0,0,false
Pavlos Savinopoulos,DDMMYYCZZZZ,Salesman,2500,0,0,10,5000,false
Pavel Savinov.,DDMMYYCZZZZ,Monthly Paid Employee,2800,0,0,0,0,false
Sauli Savinainen,DDMMYYCZZZZ,Monthly Paid Employee,2500,0,0,1,0,false
New Employee,DD,Monthly Paid Employee,7000,12,0,1,7000,false
